key,text
182,Quando é que elle disse que falaria a sua mãe?
183,As curiosidades de Capitú dão para um capitulo.
184,"—Anda apanhar um capotinho, Capitú, dizia-lhe elle."
185,José Dias dava-lhe essas noticias com certo orgulho de erudito.
186,"Um dia, Capitú quiz saber o que eram as figuras da sala de visitas."
187,Ficou muito tempo com a cara virada para elle.
188,Nascera muito depois daquellas festas celebres.
189,Tudo era materia ás curiosidades de Capitú.
190,"Fui devagar, mas ou o pé ou o espelho traiu-me."
191,Você teime —Teimo; hoje mesmo elle ha de falar.
192,É o que me dá ideia daquella feição nova.
193,Só os relogios do ceu terão marcado esse tempo infinito e breve.
194,"—Vae embaraçar-me o cabello todo, isso, sim."
195,"Capitú deu-me as costas, voltando-se para o espelhinho."
196,"«Vamos ver o grande cabelleireiro», disse-me rindo."
197,Onde estava a fita para atar-lhes as pontas?
198,"Em cima da mesa, um triste pedaço de fita enxovalhada."
199,"Não vos esqueçaes quo estava sentada, de costas para mim."
200,Cheguei a dizer-lhe que estava feia; mas nem esta razão a moveu.
201,"Quando elles me clarearam, vi que Capitú tinha os seus no chão."
202,"Não me atrevi a dizer nada; ainda que quizesse, faltava-me lingua."
203,"Não mofes dos meus quinze annos, leitor precoce."
204,"acudiu a mãe, transbordando de benevolencia."
205,"Está muito bem, ninguem dirá que é de pessoa —O que, mamãe?"
206,Era uma saida; despedi-me e enfiei pelo corredor.
207,"Voltei para dentro, e, baixinho, repeti que era homem."
208,Ainda agora tenho o éco aos meus ouvidos.
209,Fiz outros achados mais tarde; nenhum me deslumbrou tanto.
210,"Quando entrei na sala, ninguem ralhou commigo."
211,Cabral ouvia com gosto a repetição do titulo.
212,"Subentendia-se —Sim, tem razão; protonotario Cabral."
213,"Bateu-me na bochecha paternalmente, e acabou dando-me férias."
214,"—Não esqueça, mana Gloria, e protonotario tambem."
215,"—O protonotario Santiago, accentuou Cabral."
216,"Era um velho magro, sereno, dotado de qualidades boas."
217,"Era o que melhor podia fazer, sem latim, e até com latim."
218,As outras pernas não queriam correr nem andar.
219,"As mãos pararam, depois de encravada a agulha no panno."
220,"Era occasião de pegal-a, puxal-a e beijal-a..."
221,Padre Cabral eslava esperando ha muito tempo?
222,"Eu não, que já sou meia moça, concluiu rindo."
223,Foi este gesto que me obrigou a reter-lhe as mãos com força.
224,Nisto ouvimos bater á porta e falar no corredor.
225,"Considerai que de manhã tudo estava acabado, e o passo de D."
226,Fortunata foi um aviso para que nos compuzessemos.
227,"Agora lutavamos com as mãos presas, e nada estava sequer começado."
228,A minha persuasão é que o coração não lhe batia mais mais nem menos.
229,Cabral ouviu as palavras de Capitú com infinito prazer.
230,"—Obrigado, Capitú, muito obrigado; estimo que você goste tambem."
231,A voce não se pergunta; essa cara é mesmo de quem vende saude.
232,"A todas as perguntas, Capitú ia respondendo promptamente e bem."
233,Trazia um vestidinho melhor e os sapatos de sair.
234,"E, piscando-me o olho, concluiu: —A vocação é tudo."
235,"—A vocação é muito, mas o poder de Deus é soberano."
236,"—Não contesto, mas o que eu digo é outra cousa."
237,"exclamou José Dias triumphalmente, olhando em volta de si."
238,"—Perfeitamente, mas vocação não é só do berço que se traz."
239,Então póde-se entrar para o seminario e não sair padre?
240,A prova não provava; todas as creanças do meu tempo eram devotas.
241,"Não deixou minha mãe, senão para ir embora."
242,"—Vae com ella, Bentinho, disse minha mãe."
243,"Gloria, acudiu ella rindo, eu sei o caminho."
244,"Falava baixinho; pegou-me na mão, e poz o dedo na bocca."
245,"Ficando só, reflecti algum tempo, e tive uma fantasia."
246,"» O resto fez-me ficar mais algum tempo, no corredor, pensando."
247,"Mas, escute, olhe, é melhor depois do chá; logo..."
248,Não é nada mau; mamãe assusta-se por tudo; não é cousa de cuidado.
249,"—Agora só para o anno, depois das férias."
250,—Voltas aos sabbados e pelas férias; é melhor.
251,"Quando te ordenares padre, vens morar commigo."
252,Disse-lhe que tambem sentia a nossa separação.
253,E como havia de saber que Deus me dispensava?
254,—Talvez em sonho; eu sonho as vezes com anjos e santos.
255,"—Se eu accendesse vela, mamãe zangava-se."
256,"Caimos no canapé, e ficámos a olhar para o ar."
257,"Satisfil-a, attenuando o texto desta vez, para não amofinal-a."
258,"Capitú reflectia, reflectia, reflectia..."
259,"—Medo de apanhar, de ser preso, de brigar, do andar, de trabalhar..."
260,"Mas aquella pergunta assim, vaga e solta, não pude atinar o que era."
261,Os olhos de ressaca não se mexiam e pareciam crescer.
262,"vi de imaginação o aljube, uma casa escura e infecta."
263,"Tambem vi a presiganga, o quartel dos Barbonos e a Casa de Correcção."
264,Pois quem é que ha de dar pancada ou prender você?
265,"Desculpe que eu hoje estou meia maluca; quero brincar, e..."
266,"Fez o que disse, e atou o lenço outra vez na testa."
267,"Não me ouviu ou não me —Dê cá, deixe escrever uma cousa."
268,"Fortunata chegara uma vez á porta da casa, mas entrou logo depois."
269,"—Bem; comece pelas meias pretas, depois virão as roxas."
270,Mas talvez nesse tempo a moda seja outra.
271,"Qualquer sorve, comtanto que eu ouça a missa nova."
272,"Capitolina, uma moça que morou na rua de Matacavallos...» —Que morou?"
273,—Quem sabe onde é que ha do morar amanhã?
274,Promette-me que seja eu o padre que case você?
275,"Logo depois fez descair os labios, e abanou a cabeça."
276,"Abane a cabeça, leitor; faça todos os gestos de incredulidade."
277,"Foi assim mesmo que Capitú falou, com taes palavras e maneiras."
278,Capitú sorria; eu via o primeiro filho brincando no chão...
279,"As pazes fizeram-se como a guerra, depressa."
280,"—Não foi por nada, respondeu Capitú, depois de alguma hesitação..."
281,A explicação agradou-me; não tinha outra.
282,Bem; mas dous ou tres annos passam depressa.
283,Quem sou eu para você lembrar-se de mim nessa occasião?
284,"Juro, Capitú, juro por Deus Nosso Senhor que só me casarei com você."
285,"Basta —Devia bastar, disse ella; eu não me atrevo a pedir mais."
286,A cabeça da minha amiga sabia pensar claro e depressa.
287,"Realmente, a formula anterior era limitada, apenas exclusiva."
288,"Eramos religiosos, tínhamos o ceu por testemunha."
289,"Estavamos contentes, entramos a falar do futuro."
290,"Se fosse em arrabalde, seria longe, onde ninguem nos fosse aborrecer."
291,Haviamos de accender uma vela aos sabbabos...
292,"Realmente, por mais preparado que estivesse, padeci muito."
293,—As promessas devem ser cumpridas conforme Deus quer.
294,"Os olhos della brilharam, mas a bocca disse que não."
295,protonotario»; só lhe parecia que um anno era bastante.
296,"Beijou o retrato com paixão, minha mãe fez-lhe a mesma cousa a ella."
297,"Tudo isto Entre luz e fusco, tudo ha de ser breve como esse instante."
298,"E desde já fica, porque, em verdade, é a nossa defesa."
299,"Mas a vocação eras tu, a investidura eras tu."
300,Ja agora conto tambem os adeuses do velho Padua.
301,Fui apertar-lhe a mão; elle abraçou-me com ternura.
302,A mim e a toda a minha gente creia que ficam muitas saudades.
303,"Todos nós estimamos muito o senhor, como merece."
304,"Se lhe disserem outra cousa, não acredite."
305,"Tambem eu, quando me casei, fui victima de intrigas; desfizeram-se."
306,Naturalmente sabe que José Dias diz mal delle.
307,"Não é sufficiente em importancia, mas a affeição é immensa, creia."
308,"Padre que seja, a nossa casa está ás suas ordens."
309,Quero só que me não esqueça; não esqueça o velho Padua...
310,exclamou Padua abrindo e fechando o embrulho.
311,"Já não era, mas deu-me esperanças e principalmente animou-me muito."
312,"Como eu achasse muito breve, explicou-se."
313,"não vou contar o seminario, nem me bastaria a isso um capitulo."
314,Ordenou-se: annos depois encontrei-o no còro de S.
315,Pedro e pedi-lhe que me mostrasse —Que versos?
316,"Foram cocegas da mocidade; coçou-se, passou, estava bom."
317,Contrario a isso foi um seminarista que não seguiu a carreira.
318,Não é preciso dizer o nome; baste o caso.
319,"Alcançou licença de imprimil-o, o dedicou-o a Santo Agostinho."
320,Vivemos algum tempo do nosso velho seminario.
321,Como isto me faz remontar os annos da minha mocidade!
322,"Assim na cama, envolvido no lençol, tratei de poetar."
323,"Tinha o alvoroço da mãe que sente o filho, e o primeiro filho."
324,A sensação que tive é que ia sair um soneto perfeito.
325,"Trabalhei em vão, busquei, catei, esperei, não vieram os versos."
326,"Pois, senhores, nada me consola daquelle soneto que não fiz."
327,Tudo é dar-lhe uma ideia e encher o centro que falta.
328,Quantas outras caras me fitavam das paginas frias do Panegyrico!
329,"O mesmo digo dos pés, que tão depressa estavam aqui como lá."
330,"O sorriso era instantaneo, mas tambem ria folgado e largo."
331,Talvez esta faculdade prejudicasse alguma outra.
332,Este era homem de fortes sentimentos catholicos.
333,"Escobar tinha uma irmã, que era um anjo, dizia elle."
334,"—Não é só na belleza que é um anjo, mas tambem na bondade."
335,"Escreve-me muita vez, hei de mostrar-lhe as cartas della."
336,"De facto, eram simples e affectuosas, cheias de caricias e conselhos."
337,"A principio fui timido, mas elle fez- se entrado na minha confiança."
338,"Outrosim, capellas e bazares, simples alpendres ou paços sumptuosos."
339,"Uma dessas, e das primeiras, quizera contal'a aqui eu latim."
340,Já agora metto a historia em outro capitulo.
341,"Tambem, se não fica então, não fica nunca."
342,"A cabeça ia-me quente, e o andar não era seguro."
343,"No seminario, a primeira hora foi insupportavel."
344,"As batinas traziam ar de saias, e lembravam-me a quéda da senhora."
345,"Eram bellas, umas finas, outras grossas, todas ageis como o diabo."
346,"Sabios da escriptura, adivinhai o que podia ser."
347,Um antigo dizia arrenegar de conviva que tem boa memoria.
348,Eu não atino com a das que enfiei hontem.
349,E antes seja olvido que confusão; explico-me.
350,"Eu, quando leio algum desta outra casta, não me afflijo nunca."
